sku_id,category,subcategory,snapshot_date,on_hand_units,on_order_units,inventory_position,lead_time_days,source_reorder_point,calculated_risk_threshold,demand_rate_weekly,forecast_rate_weekly,preferred_demand_source,coverage_weeks,shortfall_units,stockout_risk,overstock_risk,volatility_cv,unit_cost,excess_units_over_healthy,inventory_value_exposure_rupees,stockout_shortfall_rupees,rupee_value_at_stake,decision,decision_reason,data_quality_flag,weeks_observed
SKU03043,Electronics & Accessories,Mobile Accessories,2025-12-31 00:00:00,7125.0,0.0,7125.0,14.0,1753.0,3.3333333333333335,1.6666666666666667,2.0,d3_forecast,4275.0,0.0,0.0,1.0,,3398.16,7118.333333333333,24189235.599999998,0.0,24189235.599999998,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,3.0
SKU03150,Apparel & Footwear,Women's Wear,2025-12-31 00:00:00,7949.0,0.0,7949.0,14.0,1833.0,4.0,2.0,0.0,d3_forecast,3974.5,0.0,0.0,1.0,,2742.62,7941.0,21779145.419999998,0.0,21779145.419999998,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU04062,Electronics & Accessories,Mobile Accessories,2025-12-31 00:00:00,7894.0,0.0,7894.0,14.0,1785.0,2.0,1.0,1.0,d3_forecast,7894.0,0.0,0.0,1.0,,2728.94,7890.0,21531336.6,0.0,21531336.6,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU03491,Electronics & Accessories,Batteries,2025-12-31 00:00:00,9335.0,0.0,9335.0,14.0,1930.0,3.0,1.5,2.0,d3_forecast,6223.333333333333,0.0,0.0,1.0,,1930.26,9329.0,18007395.54,0.0,18007395.54,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU01423,Electronics & Accessories,Mobile Accessories,2025-12-31 00:00:00,8702.0,0.0,8702.0,14.0,1858.0,8.0,4.0,0.0,d3_forecast,2175.5,0.0,0.0,1.0,,2040.58,8686.0,17724477.88,0.0,17724477.88,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU04409,Apparel & Footwear,Footwear,2025-12-31 00:00:00,7772.0,0.0,7772.0,14.0,1688.0,4.0,2.0,0.0,d3_forecast,3886.0,0.0,0.0,1.0,,1975.87,7764.0,15340654.68,0.0,15340654.68,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU01428,Apparel & Footwear,Men's Wear,2025-12-31 00:00:00,7485.0,0.0,7485.0,14.0,1615.0,2.0,1.0,1.0,d3_forecast,7485.0,0.0,0.0,1.0,,2043.62,7481.0,15288321.219999999,0.0,15288321.219999999,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU01542,Home & Kitchen,Home Decor,2025-12-31 00:00:00,9288.0,0.0,9288.0,14.0,1985.0,2.0,1.0,0.0,d3_forecast,9288.0,0.0,0.0,1.0,,1593.84,9284.0,14797210.559999999,0.0,14797210.559999999,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU03941,Electronics & Accessories,Batteries,2025-12-31 00:00:00,8524.0,0.0,8524.0,14.0,1795.0,4.0,2.0,0.0,d3_forecast,4262.0,0.0,0.0,1.0,,1578.53,8516.0,13442761.48,0.0,13442761.48,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU01834,Apparel & Footwear,Men's Wear,2025-12-31 00:00:00,8446.0,0.0,8446.0,14.0,1873.0,4.0,2.0,0.0,d3_forecast,4223.0,0.0,0.0,1.0,,1570.25,8438.0,13249769.5,0.0,13249769.5,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
