date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-12-31,SKU00001,215,0,14,100
2025-12-31,SKU00002,0,0,14,1582
2025-12-31,SKU00003,414,0,14,250
2025-12-31,SKU00004,148,0,14,99
2025-12-31,SKU00005,411,0,14,284
2025-12-31,SKU00006,621,0,14,324
2025-12-31,SKU00007,87,0,14,163
2025-12-31,SKU00009,85,0,14,154
2025-12-31,SKU00011,3,0,14,35
2025-12-31,SKU00012,7156,0,14,1551
2025-12-31,SKU00013,314,0,14,145
2025-12-31,SKU00014,33,0,14,76
2025-12-31,SKU00015,79,0,14,28
2025-12-31,SKU00016,106,0,14,56
2025-12-31,SKU00017,77,0,14,55
2025-12-31,SKU00018,148,0,14,188
2025-12-31,SKU00019,120,0,14,86
2025-12-31,SKU00020,0,0,14,1358
2025-12-31,SKU00021,252,0,14,111
2025-12-31,SKU00023,20,0,14,39
2025-12-31,SKU00024,6453,0,14,1467
2025-12-31,SKU00025,213,0,14,169
2025-12-31,SKU00026,81,0,14,51
2025-12-31,SKU00027,204,0,14,113
2025-12-31,SKU00028,371,0,14,247
2025-12-31,SKU00030,82,0,14,105
2025-12-31,SKU00031,508,0,14,270
2025-12-31,SKU00032,5246,0,14,1272
2025-12-31,SKU00033,136,0,14,64
2025-12-31,SKU00034,136,0,14,113
2025-12-31,SKU00035,594,0,14,298
2025-12-31,SKU00036,134,0,14,85
2025-12-31,SKU00037,334,0,14,143
2025-12-31,SKU00038,18,0,14,49
2025-12-31,SKU00039,290,0,14,179
2025-12-31,SKU00040,101,0,14,84
2025-12-31,SKU00041,123,0,14,115
2025-12-31,SKU00043,107,0,14,68
2025-12-31,SKU00044,316,0,14,135
2025-12-31,SKU00045,90,0,14,109
2025-12-31,SKU00046,324,0,14,244
2025-12-31,SKU00047,291,0,14,160
2025-12-31,SKU00048,332,0,14,173
2025-12-31,SKU00049,50,0,14,35
2025-12-31,SKU00050,48,0,14,1066
2025-12-31,SKU00051,123,0,14,71
2025-12-31,SKU00052,5399,0,14,1299
2025-12-31,SKU00053,60,0,14,27
2025-12-31,SKU00056,113,0,14,189
2025-12-31,SKU00057,30,0,14,31
2025-12-31,SKU00058,149,0,14,93
2025-12-31,SKU00059,601,0,14,233
2025-12-31,SKU00060,253,0,14,148
2025-12-31,SKU00061,296,0,14,177
2025-12-31,SKU00062,228,0,14,1221
2025-12-31,SKU00063,84,0,14,82
2025-12-31,SKU00064,409,0,14,269
2025-12-31,SKU00065,215,0,14,76
2025-12-31,SKU00066,5315,0,14,1296
