sku_id,category,subcategory,decision,recommendation,priority,decision_reason,rupee_value_at_stake,stockout_risk,overstock_risk,coverage_weeks,demand_rate_weekly,forecast_rate_weekly,preferred_demand_source,data_quality_flag
SKU03043,Electronics & Accessories,Mobile Accessories,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,24189235.599999998,0.0,1.0,4275.0,1.6666666666666667,2.0,d3_forecast,insufficient_data
SKU03150,Apparel & Footwear,Women's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,21779145.419999998,0.0,1.0,3974.5,2.0,0.0,d3_forecast,insufficient_data
SKU04062,Electronics & Accessories,Mobile Accessories,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,21531336.6,0.0,1.0,7894.0,1.0,1.0,d3_forecast,insufficient_data
SKU03491,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,18007395.54,0.0,1.0,6223.333333333333,1.5,2.0,d3_forecast,insufficient_data
SKU01423,Electronics & Accessories,Mobile Accessories,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,17724477.88,0.0,1.0,2175.5,4.0,0.0,d3_forecast,insufficient_data
SKU04409,Apparel & Footwear,Footwear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,15340654.68,0.0,1.0,3886.0,2.0,0.0,d3_forecast,insufficient_data
SKU01428,Apparel & Footwear,Men's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,15288321.219999999,0.0,1.0,7485.0,1.0,1.0,d3_forecast,insufficient_data
SKU01542,Home & Kitchen,Home Decor,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,14797210.559999999,0.0,1.0,9288.0,1.0,0.0,d3_forecast,insufficient_data
SKU03941,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,13442761.48,0.0,1.0,4262.0,2.0,0.0,d3_forecast,insufficient_data
SKU01834,Apparel & Footwear,Men's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,13249769.5,0.0,1.0,4223.0,2.0,0.0,d3_forecast,insufficient_data
SKU03975,Apparel & Footwear,Men's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,12913412.7,0.0,1.0,1771.0,5.0,0.0,d3_forecast,insufficient_data
SKU02541,Electronics & Accessories,Small Appliances,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,12907900.83,0.0,1.0,2776.3333333333335,3.0,0.0,d3_forecast,insufficient_data
SKU04791,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,11845169.899999999,0.0,1.0,1932.2857142857142,3.5,4.0,d3_forecast,insufficient_data
SKU03991,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,11817324.84,0.0,1.0,2282.6666666666665,3.0,0.0,d3_forecast,insufficient_data
SKU02302,Home & Kitchen,Home Decor,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,11662170.4,0.0,1.0,8624.0,1.0,1.0,d3_forecast,insufficient_data
SKU02421,Apparel & Footwear,Kids Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,11543028.42,0.0,1.0,7163.0,1.0,1.0,d3_forecast,insufficient_data
SKU04554,Home & Kitchen,Home Decor,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,11411782.200000001,0.0,1.0,4099.0,2.0,1.0,d3_forecast,insufficient_data
SKU00024,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,10775782.200000001,0.0,1.0,3226.5,2.0,2.0,d3_forecast,insufficient_data
SKU00584,Apparel & Footwear,Women's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,10637326.049999999,0.0,1.0,2909.5,2.0,2.0,d3_forecast,insufficient_data
SKU03833,Electronics & Accessories,Small Appliances,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,10469115.16,0.0,1.0,2223.5,4.0,0.0,d3_forecast,insufficient_data
SKU01971,Apparel & Footwear,Kids Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,10393065.83,0.0,1.0,1522.2,5.0,0.0,d3_forecast,insufficient_data
SKU00987,Electronics & Accessories,Mobile Accessories,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,10376101.64,0.0,1.0,4563.0,2.0,0.0,d3_forecast,insufficient_data
SKU00507,Apparel & Footwear,Footwear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,10168413.639999999,0.0,1.0,2944.6666666666665,3.0,0.0,d3_forecast,insufficient_data
SKU03863,Electronics & Accessories,Small Appliances,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,10114732.799999999,0.0,1.0,4287.0,2.0,0.0,d3_forecast,insufficient_data
SKU02915,Electronics & Accessories,Small Appliances,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,10075568.9,0.0,1.0,2476.714285714286,2.3333333333333335,2.0,d3_forecast,insufficient_data
SKU02253,Electronics & Accessories,Mobile Accessories,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,9938903.8,0.0,1.0,3018.6666666666665,3.0,3.0,d3_forecast,insufficient_data
SKU03173,Apparel & Footwear,Kids Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,9349323.88,0.0,1.0,3247.5,2.0,2.0,d3_forecast,insufficient_data
SKU04236,Electronics & Accessories,Small Appliances,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,9259225.2,0.0,1.0,7621.0,1.0,0.0,d3_forecast,insufficient_data
SKU03290,Apparel & Footwear,Kids Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,9219857.200000001,0.0,1.0,2662.6666666666665,3.0,5.0,d3_forecast,insufficient_data
SKU03089,Home & Kitchen,Storage & Containers,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,9200414.299999999,0.0,1.0,7814.0,1.0,1.0,d3_forecast,insufficient_data
SKU02279,Apparel & Footwear,Footwear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,9182571.75,0.0,1.0,3824.5,2.0,2.5,d3_forecast,insufficient_data
SKU03634,Apparel & Footwear,Footwear,MARKDOWN_CLEAR,Markdown clear,P2,overstock risk 1.00 >= 0.50 with stockout below 0.50: reduce excess inventory,9154669.6,0.0,1.0,6420.0,1.5,1.0,d3_forecast,low_history
SKU04729,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,8927097.32,0.0,1.0,3610.5,2.0,0.0,d3_forecast,insufficient_data
SKU04158,Apparel & Footwear,Men's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,8920599.059999999,0.0,1.0,2918.0,1.5,1.0,d3_forecast,insufficient_data
SKU04250,Health & Wellness,OTC Medicine,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,8748240.129999999,0.0,1.0,8411.0,1.0,0.0,d3_forecast,insufficient_data
SKU01407,Home & Kitchen,Cookware,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,8614407.34,0.0,1.0,7961.0,1.0,0.0,d3_forecast,insufficient_data
SKU04849,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,8315146.106666666,0.0,1.0,4588.8,1.6666666666666667,1.4375,d3_forecast,insufficient_data
