date,sku_id,units_sold,revenue,unit_price,promo_flag,week,month,season,is_holiday,promo_event,category,subcategory,launch_date,unit_cost,list_price
2022-01-01,SKU00201,2,1696.64,848.32,,52,1,Winter,,,Frozen Foods,Frozen Vegetables,2022-01-01,470.89,848.32
2022-01-01,SKU00304,1,377.93,377.93,,52,1,Winter,,,Grocery,Spices & Seasoning,2022-01-01,263.93,377.93
2022-01-01,SKU01045,1,451.29,451.29,,52,1,Winter,,,Frozen Foods,Frozen Meat,2022-01-01,256.12,451.29
2022-01-01,SKU01403,1,734.76,734.76,,52,1,Winter,,,Frozen Foods,Frozen Vegetables,2022-01-01,443.37,734.76
2022-01-01,SKU02365,1,138.08,138.08,,52,1,Winter,,,Beverages,Juices,2022-01-01,102.33,138.08
2022-01-01,SKU02538,2,433.16,216.58,,52,1,Winter,,,Frozen Foods,Ice Cream,2022-01-01,121.13,216.58
2022-01-01,SKU02555,2,947.02,473.51,,52,1,Winter,,,Grocery,Sugar & Salt,2022-01-01,323.44,473.51
2022-01-01,SKU02930,3,510.48,170.16,,52,1,Winter,,,Home Care,Pest Control,2022-01-01,133.92,170.16
2022-01-01,SKU03002,1,52.44,52.44,,52,1,Winter,,,Snacks & Confectionery,Chocolates,2022-01-01,35.4,52.44
2022-01-01,SKU03119,1,37.56,37.56,,52,1,Winter,,,Beverages,Soft Drinks,2022-01-01,21.37,37.56
2022-01-01,SKU03729,1,111.51,111.51,,52,1,Winter,,,Snacks & Confectionery,Biscuits & Cookies,2022-01-01,64.91,111.51
2022-01-01,SKU04159,3,6565.08,2188.36,,52,1,Winter,,,Apparel & Footwear,Kids Wear,2022-01-01,1459.6,2188.36
2022-01-01,SKU04256,1,1909.53,1909.53,,52,1,Winter,,,Home & Kitchen,Storage & Containers,2022-01-01,1065.44,1909.53
2022-01-01,SKU04321,7,6729.099999999999,961.3,,52,1,Winter,,,Personal Care,Hair Care,2022-01-01,658.32,961.3
2022-01-01,SKU04422,2,136.72,68.36,,52,1,Winter,,,Beverages,Energy Drinks,2022-01-01,50.65,68.36
2022-01-02,SKU00002,3,211.14,70.38,,52,1,Winter,,,Dairy & Bakery,Bread,2022-01-02,49.57,70.38
2022-01-02,SKU00020,1,109.5,109.5,,52,1,Winter,,,Grocery,Rice & Grains,2022-01-02,69.58,109.5
2022-01-02,SKU00383,1,124.69,124.69,,52,1,Winter,,,Beverages,Tea,2022-01-02,78.59,124.69
2022-01-02,SKU00422,2,553.26,276.63,,52,1,Winter,,,Personal Care,Bath & Body,2022-01-02,187.02,276.63
2022-01-02,SKU00429,2,1165.76,582.88,,52,1,Winter,,,Home & Kitchen,Storage & Containers,2022-01-02,414.48,582.88
2022-01-02,SKU00538,3,3303.21,1101.07,,52,1,Winter,,,Health & Wellness,Vitamins & Supplements,2022-01-02,799.48,1101.07
2022-01-02,SKU00693,1,1047.53,1047.53,,52,1,Winter,,,Home & Kitchen,Storage & Containers,2022-01-02,722.42,1047.53
2022-01-02,SKU00984,1,1782.02,1782.02,,52,1,Winter,,,Apparel & Footwear,Women's Wear,2022-01-02,1138.8,1782.02
2022-01-02,SKU01231,1,300.33,300.33,,52,1,Winter,,,Stationery & Office,Notebooks,2022-01-02,229.58,300.33
2022-01-02,SKU01710,5,10473.85,2094.77,,52,1,Winter,,,Electronics & Accessories,Small Appliances,2022-01-02,1500.75,2094.77
2022-01-02,SKU02155,2,2226.96,1113.48,,52,1,Winter,,,Home & Kitchen,Home Decor,2022-01-02,866.65,1113.48
2022-01-02,SKU02417,2,2216.88,1108.44,,52,1,Winter,,,Apparel & Footwear,Women's Wear,2022-01-02,844.05,1108.44
2022-01-02,SKU02840,1,267.04,267.04,,52,1,Winter,,,Home Care,Dishwashing,2022-01-02,174.46,267.04
2022-01-02,SKU02870,3,2384.13,794.71,,52,1,Winter,,,Electronics & Accessories,Batteries,2022-01-02,627.11,794.71
2022-01-02,SKU03199,1,78.08,78.08,,52,1,Winter,,,Beverages,Coffee,2022-01-02,57.97,78.08
