date,sku_id,units_sold,revenue,unit_price,promo_flag
2022-01-01,SKU00201,2,1696.64,848.32,
2022-01-01,SKU00304,1,377.93,377.93,
2022-01-01,SKU01045,1,451.29,451.29,
2022-01-01,SKU01403,1,734.76,734.76,
2022-01-01,SKU02365,1,138.08,138.08,
2022-01-01,SKU02538,2,433.16,216.58,
2022-01-01,SKU02555,2,947.02,473.51,
2022-01-01,SKU02930,3,510.48,170.16,
2022-01-01,SKU03002,1,52.44,52.44,
2022-01-01,SKU03119,1,37.56,37.56,
2022-01-01,SKU03729,1,111.51,111.51,
2022-01-01,SKU04159,3,6565.08,2188.36,
2022-01-01,SKU04256,1,1909.53,1909.53,
2022-01-01,SKU04321,7,6729.099999999999,961.3,
2022-01-01,SKU04422,2,136.72,68.36,
2022-01-02,SKU00002,3,211.14,70.38,
2022-01-02,SKU00020,1,109.5,109.5,
2022-01-02,SKU00383,1,124.69,124.69,
2022-01-02,SKU00422,2,553.26,276.63,
2022-01-02,SKU00429,2,1165.76,582.88,
2022-01-02,SKU00538,3,3303.21,1101.07,
2022-01-02,SKU00693,1,1047.53,1047.53,
2022-01-02,SKU00984,1,1782.02,1782.02,
2022-01-02,SKU01231,1,300.33,300.33,
2022-01-02,SKU01710,5,10473.85,2094.77,
2022-01-02,SKU02155,2,2226.96,1113.48,
2022-01-02,SKU02417,2,2216.88,1108.44,
2022-01-02,SKU02840,1,267.04,267.04,
2022-01-02,SKU02870,3,2384.13,794.71,
2022-01-02,SKU03199,1,78.08,78.08,
2022-01-02,SKU03377,1,169.11,169.11,
2022-01-02,SKU03666,2,250.92,125.46,
2022-01-02,SKU03702,1,473.65,473.65,
2022-01-02,SKU03743,1,253.24,253.24,
2022-01-02,SKU03772,2,491.92,245.96,
2022-01-02,SKU03870,1,301.78,301.78,
2022-01-02,SKU04045,1,615.16,615.16,
2022-01-02,SKU04321,1,961.3,961.3,
2022-01-02,SKU04596,2,671.1,335.55,
2022-01-02,SKU04749,5,7848.45,1569.69,
2022-01-02,SKU04756,2,1330.64,665.32,
2022-01-03,SKU00753,2,360.04,180.02,
2022-01-03,SKU00896,1,194.43,194.43,
2022-01-03,SKU01315,3,5086.05,1695.3499999999997,
2022-01-03,SKU02912,4,624.0,156.0,
2022-01-03,SKU03038,1,204.05,204.05,
2022-01-03,SKU03727,1,1660.93,1660.93,
2022-01-03,SKU03840,1,255.12,255.12,
2022-01-03,SKU04166,1,263.67,263.67,
2022-01-03,SKU04197,2,717.9,358.95,
2022-01-03,SKU04321,2,1922.6,961.3,
2022-01-03,SKU04380,2,573.86,286.93,
