sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU00001,Home & Kitchen,Cookware,2022-03-01,619.77,813.41
SKU00002,Dairy & Bakery,Bread,2022-01-02,49.57,70.38
SKU00003,Stationery & Office,Notebooks,2022-08-10,83.67,151.28
SKU00004,Dairy & Bakery,Eggs,2022-04-18,156.32,233.64
SKU00005,Home Care,Pest Control,2023-02-16,83.46,138.5
SKU00006,Health & Wellness,OTC Medicine,2022-01-23,830.81,1413.92
SKU00007,Beverages,Energy Drinks,2022-01-22,78.97,129.75
SKU00008,Frozen Foods,Frozen Vegetables,2023-02-05,358.31,492.11
SKU00009,Frozen Foods,Frozen Vegetables,2025-01-27,178.03,251.86
SKU00010,Apparel & Footwear,Footwear,2023-03-14,1096.65,1602.79
SKU00011,Stationery & Office,Writing Instruments,2023-12-31,83.12,123.36
SKU00012,Health & Wellness,Vitamins & Supplements,2025-10-28,526.59,813.52
SKU00013,Personal Care,Hair Care,2022-03-07,402.76,521.95
SKU00014,Personal Care,Men's Grooming,2022-06-07,126.47,161.5
SKU00015,Home Care,Dishwashing,2022-06-23,205.47,277.24
SKU00016,Apparel & Footwear,Men's Wear,2022-02-11,2163.92,3478.65
SKU00017,Dairy & Bakery,Eggs,2025-12-06,218.27,280.39
SKU00018,Snacks & Confectionery,Chips & Crisps,2022-12-05,70.86,93.88
SKU00019,Personal Care,Hair Care,2022-04-05,229.13,394.36
SKU00020,Grocery,Rice & Grains,2022-01-02,69.58,109.5
SKU00021,Beverages,Tea,2022-11-21,73.74,116.7
SKU00022,Beverages,Bottled Water,2025-11-04,147.24,201.01
SKU00023,Apparel & Footwear,Footwear,2022-12-21,1381.64,2028.91
SKU00024,Electronics & Accessories,Batteries,2022-06-19,1671.96,2711.05
SKU00025,Electronics & Accessories,Mobile Accessories,2022-10-05,1483.61,2441.35
SKU00026,Home Care,Laundry,2022-05-10,190.99,287.47
SKU00027,Electronics & Accessories,Mobile Accessories,2022-10-08,435.8,608.24
SKU00028,Beverages,Bottled Water,2022-09-24,63.96,94.45
SKU00029,Home & Kitchen,Cookware,2022-01-14,1222.63,1987.18
SKU00030,Frozen Foods,Frozen Meat,2023-05-26,283.65,402.34
SKU00031,Stationery & Office,Office Supplies,2023-04-12,121.13,151.46
SKU00032,Beverages,Coffee,2022-03-15,30.84,51.91
SKU00033,Home Care,Air Fresheners,2024-09-13,112.21,164.5
SKU00034,Electronics & Accessories,Small Appliances,2023-02-27,1355.55,2105.17
SKU00035,Home Care,Air Fresheners,2022-03-16,130.18,215.32
SKU00036,Home Care,Air Fresheners,2022-03-23,145.16,188.79
SKU00037,Beverages,Energy Drinks,2022-01-24,86.73,109.86
SKU00038,Personal Care,Skin Care,2022-01-24,240.69,377.52
SKU00039,Snacks & Confectionery,Candy,2023-05-26,79.49,124.83
SKU00040,Dairy & Bakery,Cheese,2022-03-12,118.43,206.7
