date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-01,SKU-001,0,5,3,128
2024-01-02,SKU-001,0,8,3,128
2024-01-03,SKU-001,8,4,3,128
2024-01-04,SKU-001,3,23,3,128
2024-01-05,SKU-001,6,5,3,128
2024-01-06,SKU-001,5,17,3,128
2024-01-07,SKU-001,9,16,3,128
2024-01-08,SKU-001,11,21,3,128
2024-01-09,SKU-001,4,34,3,128
2024-01-10,SKU-001,4,14,3,128
2024-01-11,SKU-001,10,30,3,128
2024-01-12,SKU-001,10,15,3,128
2024-01-13,SKU-001,1,11,3,128
2024-01-14,SKU-001,5,31,3,128
2024-01-15,SKU-001,7,22,3,128
2024-01-16,SKU-001,8,22,3,128
2024-01-17,SKU-001,6,32,3,128
2024-01-18,SKU-001,0,33,3,128
2024-01-19,SKU-001,0,0,3,128
2024-01-20,SKU-001,5,27,3,128
2024-01-21,SKU-001,8,18,3,128
2024-01-22,SKU-001,3,10,3,128
2024-01-23,SKU-001,3,22,3,128
2024-01-24,SKU-001,2,19,3,128
2024-01-25,SKU-001,8,16,3,128
2024-01-26,SKU-001,4,33,3,128
2024-01-27,SKU-001,10,31,3,128
2024-01-28,SKU-001,4,30,3,128
2024-01-29,SKU-001,11,7,3,128
2024-01-30,SKU-001,8,20,3,128
2024-01-31,SKU-001,4,14,3,128
2024-02-01,SKU-001,7,28,3,128
2024-02-02,SKU-001,5,8,3,128
2024-02-03,SKU-001,8,26,3,128
2024-02-04,SKU-001,0,23,3,128
2024-02-05,SKU-001,0,2,3,128
2024-02-06,SKU-001,4,10,3,128
2024-02-07,SKU-001,5,12,3,128
2024-02-08,SKU-001,4,20,3,128
2024-02-09,SKU-001,4,4,3,128
2024-02-10,SKU-001,7,22,3,128
2024-02-11,SKU-001,5,22,3,128
2024-02-12,SKU-001,7,25,3,128
2024-02-13,SKU-001,5,31,3,128
2024-02-14,SKU-001,2,15,3,128
2024-02-15,SKU-001,4,17,3,128
2024-02-16,SKU-001,10,8,3,128
2024-02-17,SKU-001,5,3,3,128
2024-02-18,SKU-001,7,30,3,128
2024-02-19,SKU-001,3,34,3,128
2024-02-20,SKU-001,5,24,3,128
2024-02-21,SKU-001,0,17,3,128
2024-02-22,SKU-001,0,7,3,128
2024-02-23,SKU-001,2,32,3,128
2024-02-24,SKU-001,11,14,3,128
2024-02-25,SKU-001,7,2,3,128
2024-02-26,SKU-001,3,11,3,128
2024-02-27,SKU-001,7,19,3,128
2024-02-28,SKU-001,8,6,3,128
2024-02-29,SKU-001,4,11,3,128
2024-03-01,SKU-001,2,22,3,128
2024-03-02,SKU-001,5,16,3,128
2024-03-03,SKU-001,3,24,3,128
2024-03-04,SKU-001,2,20,3,128
2024-03-05,SKU-001,7,6,3,128
2024-03-06,SKU-001,9,1,3,128
2024-03-07,SKU-001,6,20,3,128
2024-03-08,SKU-001,6,3,3,128
2024-03-09,SKU-001,0,7,3,128
2024-03-10,SKU-001,0,0,3,128
2024-03-11,SKU-001,11,3,3,128
2024-03-12,SKU-001,10,3,3,128
2024-03-13,SKU-001,7,19,3,128
2024-03-14,SKU-001,9,17,3,128
2024-03-15,SKU-001,10,32,3,128
2024-03-16,SKU-001,1,6,3,128
2024-03-17,SKU-001,5,8,3,128
2024-03-18,SKU-001,7,6,3,128
2024-03-19,SKU-001,2,34,3,128
2024-03-20,SKU-001,1,1,3,128
2024-03-21,SKU-001,7,27,3,128
2024-03-22,SKU-001,3,15,3,128
2024-03-23,SKU-001,7,17,3,128
2024-03-24,SKU-001,4,23,3,128
2024-03-25,SKU-001,9,6,3,128
2024-03-26,SKU-001,0,13,3,128
2024-03-27,SKU-001,0,8,3,128
2024-03-28,SKU-001,8,1,3,128
2024-03-29,SKU-001,7,1,3,128
2024-03-30,SKU-001,8,1,3,128
2024-03-31,SKU-001,11,1,3,128
2024-04-01,SKU-001,1,16,3,128
2024-04-02,SKU-001,7,6,3,128
2024-04-03,SKU-001,6,18,3,128
2024-04-04,SKU-001,11,6,3,128
2024-04-05,SKU-001,6,19,3,128
2024-04-06,SKU-001,3,28,3,128
2024-04-07,SKU-001,4,0,3,128
2024-04-08,SKU-001,3,31,3,128
2024-04-09,SKU-001,7,4,3,128
2024-04-10,SKU-001,11,23,3,128
2024-04-11,SKU-001,4,18,3,128
2024-04-12,SKU-001,0,4,3,128
2024-04-13,SKU-001,0,1,3,128
2024-04-14,SKU-001,7,28,3,128
2024-04-15,SKU-001,5,7,3,128
2024-04-16,SKU-001,4,4,3,128
2024-04-17,SKU-001,8,0,3,128
2024-04-18,SKU-001,5,12,3,128
2024-04-19,SKU-001,10,30,3,128
2024-04-20,SKU-001,8,7,3,128
2024-04-21,SKU-001,5,7,3,128
2024-04-22,SKU-001,6,27,3,128
2024-04-23,SKU-001,2,1,3,128
2024-04-24,SKU-001,1,17,3,128
2024-04-25,SKU-001,6,30,3,128
2024-04-26,SKU-001,8,7,3,128
2024-04-27,SKU-001,5,25,3,128
2024-04-28,SKU-001,10,8,3,128
2024-04-29,SKU-001,0,6,3,128
2024-04-30,SKU-001,0,24,3,128
2024-05-01,SKU-001,7,10,3,128
2024-05-02,SKU-001,8,20,3,128
2024-05-03,SKU-001,4,12,3,128
2024-05-04,SKU-001,2,12,3,128
2024-05-05,SKU-001,4,12,3,128
2024-05-06,SKU-001,1,21,3,128
2024-05-07,SKU-001,10,13,3,128
2024-05-08,SKU-001,2,0,3,128
2024-05-09,SKU-001,8,5,3,128
2024-05-10,SKU-001,1,28,3,128
2024-05-11,SKU-001,3,6,3,128
2024-05-12,SKU-001,11,24,3,128
2024-05-13,SKU-001,11,27,3,128
2024-05-14,SKU-001,8,19,3,128
2024-05-15,SKU-001,2,3,3,128
2024-05-16,SKU-001,0,24,3,128
2024-05-17,SKU-001,0,6,3,128
2024-05-18,SKU-001,9,1,3,128
2024-05-19,SKU-001,10,20,3,128
2024-05-20,SKU-001,8,11,3,128
2024-05-21,SKU-001,5,4,3,128
2024-05-22,SKU-001,2,19,3,128
2024-05-23,SKU-001,3,33,3,128
2024-05-24,SKU-001,5,26,3,128
