date,sku_id,units_sold
2025-01-01,SKU001,2
2025-01-01,SKU002,3
2025-01-01,SKU003,4
2025-01-02,SKU001,1
2025-01-02,SKU002,4
2025-01-02,SKU003,3
2025-01-03,SKU001,3
2025-01-03,SKU002,2
2025-01-03,SKU003,5
2025-01-04,SKU001,2
2025-01-04,SKU002,5
2025-01-04,SKU003,4
2025-01-05,SKU001,2
2025-01-05,SKU002,3
2025-01-05,SKU003,6
2025-01-06,SKU001,3
2025-01-06,SKU002,4
2025-01-06,SKU003,3
2025-01-07,SKU001,2
2025-01-07,SKU002,3
2025-01-07,SKU003,5
2025-01-08,SKU001,1
2025-01-08,SKU002,5
2025-01-08,SKU003,4
2025-01-09,SKU001,3
2025-01-09,SKU002,2
2025-01-09,SKU003,3
2025-01-10,SKU001,2
2025-01-10,SKU002,4
2025-01-10,SKU003,6
2025-01-11,SKU001,2
2025-01-11,SKU002,3
2025-01-11,SKU003,4
2025-01-12,SKU001,3
2025-01-12,SKU002,5
2025-01-12,SKU003,5
2025-01-13,SKU001,1
2025-01-13,SKU002,4
2025-01-13,SKU003,3
2025-01-14,SKU001,2
2025-01-14,SKU002,3
2025-01-14,SKU003,4
